Id,IsDeleted,LastName,FirstName,Salutation,Name,Title,Company,Phone,MobilePhone,Email,Website,LeadSource,Status,Industry,AnnualRevenue,NumberOfEmployees,OwnerId,IsConverted,ConvertedDate,ConvertedAccountId,ConvertedContactId,ConvertedOpportunityId,LastModifiedDate,LastActivityDate,EmailBouncedReason,EmailBouncedDate,NumberofLocations__c
00Qbm00000Orxk5EAB,FALSE,Boxer,Bertha,Ms.,Bertha Boxer,Director of Vendor Relations,Farmers Coop. of Florida,(850) 644-4200,,bertha@fcof.net,,Web,Closed - Converted,Agriculture,900750000,,005bm00000NCJmQAAX,TRUE,02/24/26,001bm00001ZM1LyAAL,003bm00000zbyRuAAI,006bm00000LKgOnAAL,02/24/26 02:18 AM,,,,130
00Qbm00000Orxk6EAB,FALSE,Cotton,Phyllis,Ms,Phyllis Cotton,CFO,Abbott Insurance,(703) 757-1000,,pcotton@abbottins.net,,Web,Open - Not Contacted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,130
00Qbm00000Orxk7EAB,FALSE,Glimpse,Jeff,Mr,Jeff Glimpse,"SVP, Procurement",Jackson Controls,886-2-25474189,,jeffg@jackson.com,,Phone Inquiry,Closed - Converted,,,,005bm00000NCJmQAAX,TRUE,02/24/26,001bm00001ZMZGzAAP,003bm00000zc9GrAAI,006bm00000LKg0bAAD,02/24/26 02:15 AM,,,,130
00Qbm00000Orxk8EAB,FALSE,Braund,Mike,Mr,Mike Braund,"VP, Technology",Metropolitan Health Services,(410) 381-2334,,likeb@metro.com,,Purchased List,Open - Not Contacted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,130
00Qbm00000Orxk9EAB,FALSE,Feager,Patricia,Ms,Patricia Feager,CEO,International Shipping Co.,(336) 777-1970,,patricia_feager@is.com,,Partner Referral,Working - Contacted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,130
00Qbm00000OrxkAEAR,FALSE,Mcclure,Brenda,Ms,Brenda Mcclure,CFO,Cadinal Inc.,(847) 262-5000,,brenda@cardinal.net,,Web,Closed - Converted,,,,005bm00000NCJmQAAX,TRUE,02/24/26,001bm00001ZMTUyAAP,003bm00000zc6qsAAA,006bm00000LKgdJAAT,02/24/26 02:19 AM,,,,130
00Qbm00000OrxkBEAR,FALSE,Maccleod,Violet,Ms,Violet Maccleod,"VP, Finance",Emerson Transport,(770) 395-2370,,violetm@emersontransport.com,,Phone Inquiry,Working - Contacted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,130
00Qbm00000OrxkCEAR,FALSE,Snyder,Kathy,Ms,Kathy Snyder,Regional General Manager,TNR Corp.,(860) 273-0123,,ksynder@tnr.net,,Purchased List,Working - Contacted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,130
00Qbm00000OrxkDEAR,FALSE,James,Tom,Mr,Tom James,"SVP, Production",Delphi Chemicals,(952) 346-3500,,tom.james@delphi.chemicals.com,,Web,Working - Contacted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 10:11 PM,02/23/26,,,130
00Qbm00000OrxkEEAR,FALSE,Brownell,Shelly,Ms,Shelly Brownell,"SVP, Technology",Western Telecommunications Corp.,(408) 326-9000,,shellyb@westerntelecom.com,,Partner Referral,Working - Contacted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,130
00Qbm00000OrxkFEAR,FALSE,Owenby,Pamela,Ms,Pamela Owenby,"SVP, Technology",Hendrickson Trading,(570) 326-1571,,pam_owenby@hendricksontrading.com,,Partner Referral,Closed - Not Converted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,3
00Qbm00000OrxkGEAR,FALSE,May,Norm,Mr,Norm May,"VP, Facilities",Greenwich Media,(419) 289-3555,,norm_may@greenwich.net,,Web,Working - Contacted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 10:12 PM,02/23/26,,,130
00Qbm00000OrxkHEAR,FALSE,Stumuller,Pat,Ms,Pat Stumuller,"SVP, Administration and Finance",Pyramid Construction Inc.,33562156600,,pat@pyramid.net,,Phone Inquiry,Closed - Converted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,130
00Qbm00000OrxkIEAR,FALSE,Young,Andy,Mr,Andy Young,"SVP, Operations",Dickenson plc,(620) 241-6200,,a_young@dickenson.com,,Purchased List,Closed - Converted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,130
00Qbm00000OrxkJEAR,FALSE,Akin,Kristen,Ms,Kristen Akin,"Director, Warehouse Mgmt",Aethna Home Products,(434) 369-3100,,kakin@athenahome.com,,Partner Referral,Working - Contacted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,130
00Qbm00000OrxkKEAR,FALSE,Monaco,David,Mr,David Monaco,CFO,Blues Entertainment Corp.,(033) 452-1299,,david@blues.com,,Purchased List,Working - Contacted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,130
00Qbm00000OrxkLEAR,FALSE,Crenshaw,Carolyn,Ms,Carolyn Crenshaw,"VP, Technology",Ace Iron and Steel Inc.,(251) 679-2200,,carolync@aceis.com,,Phone Inquiry,Closed - Not Converted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,130
00Qbm00000OrxkMEAR,FALSE,Rogers,Jack,Mr.,Jack Rogers,"VP, Facilities",Burlington Textiles Corp of America,(336) 222-7000,,jrogers@btca.com,,Web,Closed - Converted,Apparel,350000000,9000,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,3
00Qbm00000OrxkNEAR,FALSE,Dadio Jr,Bill,Mr,Bill Dadio Jr,CFO,Zenith Industrial Partners,(614) 431-5000,,bill_dadio@zenith.com,,Web,Closed - Converted,,,,005bm00000NCJmQAAX,TRUE,02/24/26,001bm00001ZMQX5AAP,003bm00000zc4DzAAI,006bm00000LKdM8AAL,02/24/26 02:19 AM,,,,3
00Qbm00000OrxkOEAR,FALSE,Luce,Eugena,Ms,Eugena Luce,CEO,Pacific Retail Group,(781) 270-6500,,eluce@pacificretail.com,,Purchased List,Closed - Not Converted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,130
00Qbm00000OrxkPEAR,FALSE,Eberhard,Sandra,Ms,Sandra Eberhard,"VP, Production",Highland Manufacturing Ltd.,(626) 440-0700,,sandra_e@highland.net,,Purchased List,Working - Contacted,,,,005bm00000NCJmQAAX,FALSE,,,,,02/23/26 08:55 PM,,,,130
00Qbm00000OrxkQEAR,FALSE,Bair,Betty,Ms,Betty Bair,"VP, Administration",American Banking Corp.,(610) 265-9100,,bblair@abankingco.com,,Purchased List,Closed - Converted,,,,005bm00000NCJmQAAX,TRUE,02/24/26,001bm00001ZMa9pAAD,003bm00000zc9gfAAA,006bm00000LKgS1AAL,02/24/26 02:18 AM,,,,130
